"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes","div"
"146","Sam.",19,63.4892301238868,0.61537330568967,0.523528552382383,0.682364336802202,0.508765172526966,13,"scout","prem"
"147","Big-Dad",26,63.4802335900665,0.66443285162412,0.5541674107622,0.487851903938185,0.577038138198767,18,"soldier","inter"
"148","Raze",28,63.4694366291823,0.437605899602538,0.786667641433654,0.758698533715182,0.578891492569956,4,"scout","prem"
"149","K1ng",28,63.4607919324255,0.656994703692469,0.298871020092382,0.6740608858581,0.50827986391039,8,"demoman","inter"
"150","krollic",20,63.4062652563489,0.647682983831413,0.548643428629504,0.521709020787313,0.679313478485617,15,"soldier","prem"
"151","sao",27,63.3781232343066,0.680625517878483,0.455614287940945,0.637546151309392,0.533758171305907,17,"demoman","inter"
"152","rohan",27,63.3738479144688,0.588042694989389,0.718248018801845,0.467674875784466,0.588074786165333,2,"soldier","prem"
"153","takeyon",27,63.3560038232415,0.583597487174326,0.608979794008246,0.632124598715883,0.642070856682345,3,"soldier","inter"
"154","silvo",29,63.3201214466294,0.607153495891469,0.617698086224869,0.6251988190425,0.76413800822817,9,"scout","prem"
"155","deft",19,63.3173987465583,0.59091078057995,0.623756697616959,0.598331469758442,0.542284798718916,14,"demoman","prem"
"156","teejay",15,63.2886792967111,0.706609190163168,0.412987079765877,0.656065760339061,0.450376119332732,8,"scout","prem"
"157","Geoh",29,63.2639549017685,0.71182425659307,0.424009010592726,0.541908632865332,0.7251470905175,2,"scout","prem"
"158","Jersh",17,63.2330755830194,0.787625734601141,0.390360375044203,0.611657585816706,0.488891545107999,6,"soldier","prem"
"159","cooki",28,63.2261028344863,0.681564967899926,0.483299371380244,0.410020723562939,0.593744531289368,16,"scout","prem"
"160","dubious",18,63.2156670385738,0.641751313027184,0.588408135295924,0.560289329979108,0.587786073156573,11,"soldier","prem"
"161","ceekay",25,63.2061356052908,0.516660810139647,0.569984982717265,0.73401177446823,0.60822432749948,5,"scout","inter"
"162","arnold",28,63.2022219567019,0.572850492737896,0.627897819868538,0.451627958070349,0.512598266743961,12,"scout","inter"
"163","TG",29,63.2015317668085,0.581667063957729,0.677008093996248,0.432075959017941,0.63647416220291,8,"scout","inter"
"164","emgee",21,63.1961768718365,0.663882791469699,0.563121415907754,0.491228520957023,0.555354801326866,15,"soldier","prem"
"165","deft",25,63.0416939782446,0.560425746520305,0.692372193980799,0.566499664501199,0.545018266668565,17,"demoman","prem"
"166","decap",26,62.9681523837271,0.58317189322681,0.563328667357455,0.526325055055576,0.68970449921992,5,"scout","inter"
"167","Smily",28,62.9555841699806,0.531856708614822,0.424039500676798,0.652711847245965,0.558877418624076,12,"soldier","high"
"168","deft",24,62.8908222462545,0.573609550543192,0.689240017982138,0.521379129935293,0.551585111587913,13,"demoman","prem"
"169","yewl",19,62.8671251211754,0.626979609567273,0.510374255093736,0.561477075148465,0.533209937906776,22,"soldier","prem"
"170","cezyse",28,62.8525786134647,0.576096778070759,0.578778955877541,0.396166220848749,0.652990529299556,4,"scout","high"
"171","Astonnn",28,62.8283744459722,0.547155599884677,0.716223022573329,0.462332867604979,0.581450175986729,15,"soldier","inter"
"172","ckm",15,62.7877199368893,0.664989176795371,0.463801211194331,0.540593399462723,0.61677514030425,16,"soldier","prem"
"173","enrith",19,62.6959667740693,0.59749325665466,0.573214501805791,0.593274028486608,0.558207715981158,20,"demoman","prem"
"174","Raze",27,62.6855053237784,0.536066504147036,0.745824774749146,0.57775806262889,0.638123169332524,20,"scout","prem"
"175","pause",20,62.6453902316947,0.516469528456837,0.670633493936476,0.710635814464041,0.62383355667918,15,"soldier","prem"
"176","pr1med",14,62.6319622826059,0.509467363047484,0.679084488114979,0.651670715772758,0.635524498929983,8,"soldier","prem"
